feature,mean_abs_shap
nearby_avg_rating_500m,0.17990811156890918
nearby_review_count_log_mean_500m,0.03955587061012538
nearest_same_category_distance_m,0.013444957610178679
nearest_business_distance_m,0.005655395425239017
nearest_road_distance_m,0.0054885977375241195
same_category_density_500m,0.005201387013882092
same_category_density_1000m,0.004510302820655902
competitor_saturation_index,0.004013783009361825
nearby_review_count_log_sum_500m,0.0036257416110197825
distance_to_forest_or_green_area_m,0.00196807912067643
distance_to_water_body_m,0.0019035339033427012
business_density_1000m,0.0018781351936088253
intersection_density_500m,0.0017183935936923326
road_access_score,0.00160070294965812
poi_diversity_index,0.001174622401316141
cluster_centroid_distance_m,0.0011292646763965658
road_density_500m,0.0008749763486996654
same_category_density_250m,0.0008070252195143104
business_density_250m,0.0007990222375219122
population_density,0.0006620300805006135
business_density_500m,0.00045417687741954987
nearest_cluster_size,0.00024543440828268717
is_noise_area,2.1051768449301976e-05
is_valid_land,1.3260809472143735e-05
commercial_land_ratio_500m,0.0
residential_land_ratio_500m,0.0
