model,mae,rmse,r2,spearman_rank,precision_at_20,top_20_overlap,best_params
extra_trees_regressor,0.05061918779628976,0.08867721921895165,0.9071462472540247,0.8843989884473078,0.95,0.4,"{""n_estimators"": 200, ""min_samples_leaf"": 1, ""max_depth"": 8}"
random_forest_regressor,0.05383533748847602,0.09257513960769005,0.8988038289750773,0.8725946284496809,0.9,0.4,"{""n_estimators"": 500, ""min_samples_leaf"": 1, ""max_depth"": 8}"
linear_regression,0.056193003678598655,0.09416836972650205,0.8952906574603101,0.8616067089033977,0.75,0.3,{}
lightgbm_regressor,0.05546256615351248,0.09335971946457532,0.8970812731642999,0.8543075490881011,0.9,0.2,"{""num_leaves"": 15, ""min_child_samples"": 20, ""max_depth"": 10}"
xgboost_regressor,0.056585311085559135,0.09726613593658821,0.8882883014297561,0.8355750204004161,0.85,0.25,"{""subsample"": 1.0, ""max_depth"": 3, ""colsample_bytree"": 0.9}"
