train_size,train_rmse_mean,train_rmse_std,validation_rmse_mean,validation_rmse_std,generalization_gap,fit_time_mean_seconds,score_time_mean_seconds,cv_splits,spatial_group_count
536,0.08072722137204445,0.0061635537593564,0.2157260170056512,0.005000731824341673,0.13499879563360673,0.9844355583190918,0.015657504399617512,3,352
1072,0.1163808128145583,0.004904712758639128,0.2093617559746069,0.006110515894979652,0.09298094316004861,1.1707184314727783,0.013123671213785807,3,352
1608,0.13774751276933003,0.0030301790472163225,0.2047332993849558,0.006191941343523509,0.06698578661562576,0.8089589277903239,0.017993370691935223,3,352
2144,0.14886325957835497,0.0022543227259690614,0.20350680228299353,0.007991905612231589,0.05464354270463856,1.3056391874949138,0.014795064926147461,3,352
2680,0.15554498591314783,0.004214295397828218,0.20455051007266803,0.00785474167350393,0.0490055241595202,1.3618417580922444,0.015654246012369793,3,352
