train_size,train_f1_macro_mean,train_f1_macro_std,validation_f1_macro_mean,validation_f1_macro_std,generalization_gap,fit_time_mean_seconds,score_time_mean_seconds,cv_splits,spatial_group_count
514,1.0,0.0,0.9339806304511901,0.012875215080157296,0.06601936954880994,0.6245542367299398,0.10048802693684895,3,426
1028,1.0,0.0,0.9580958506547045,0.002888654172717699,0.041904149345295516,0.6848991711934408,0.0962667465209961,3,426
1542,1.0,0.0,0.9679110623935047,0.003635818412404678,0.03208893760649534,0.6775301297505697,0.09120265642801921,3,426
2056,1.0,0.0,0.971227055969674,0.0017297034156469916,0.028772944030326042,0.7287172476450602,0.09955962498982747,3,426
2571,1.0,0.0,0.969169611607002,0.000563181337112287,0.03083038839299801,0.7096279462178549,0.09214393297831218,3,426
